Browser,Language,Package,CPU,DRAM,Time
GoogleChrome,JS,1985.180,1780.876,130.722,130.920
MicrosoftEdge,JS,2023.554,1838.975,125.940,131.870
MozillaFirefox,JS,2677.388,2397.888,170.153,178.924
GoogleChrome,Wasm,2051.887,1837.084,135.751,137.351
MicrosoftEdge,Wasm,2027.149,1826.544,127.333,134.379
MozillaFirefox,Wasm,1650.135,1480.914,106.361,108.590
