Browser,Language,Package,CPU,DRAM,Time
GoogleChrome,JS,1528.203,1394.009,87.891,101.412
MicrosoftEdge,JS,1533.195,1400.935,88.830,102.949
MozillaFirefox,JS,2116.446,1922.498,120.339,146.919
GoogleChrome,Wasm,1317.841,1198.785,78.373,86.739
MicrosoftEdge,Wasm,1277.740,1169.313,72.791,83.799
MozillaFirefox,Wasm,1156.466,1056.970,67.453,75.073
