Browser,Language,Package,CPU,DRAM,Time
GoogleChrome,JS,2872.662,2561.522,203.066,200.946
MicrosoftEdge,JS,2935.142,2659.043,189.577,196.470
MozillaFirefox,JS,4221.510,3770.849,272.576,288.045
GoogleChrome,Wasm,2682.640,2390.753,185.867,185.276
MicrosoftEdge,Wasm,2727.914,2481.909,161.058,180.573
MozillaFirefox,Wasm,2393.042,2179.715,132.939,157.415
