Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,JS,1,2674.506,2439.535,0,152.028,180.211
GoogleChrome,JS,2,2629.301,2395.987,0,151.526,179.649
GoogleChrome,JS,3,2615.024,2375.708,0,154.506,183.624
GoogleChrome,JS,4,2584.090,2347.457,0,153.321,181.756
GoogleChrome,JS,5,2590.350,2351.745,0,154.806,183.857
MicrosoftEdge,JS,1,2701.583,2450.297,0,171.028,186.182
MicrosoftEdge,JS,2,2624.231,2382.101,0,159.094,185.208
MicrosoftEdge,JS,3,2644.880,2403.485,0,159.476,185.401
MicrosoftEdge,JS,4,2629.512,2388.877,0,158.557,184.318
MicrosoftEdge,JS,5,2675.877,2432.580,0,160.195,186.347
MozillaFirefox,JS,1,3954.939,3630.248,0,210.338,255.952
MozillaFirefox,JS,2,3893.435,3549.551,0,215.531,262.334
MozillaFirefox,JS,3,3736.093,3398.666,0,208.738,256.133
MozillaFirefox,JS,4,3720.970,3380.379,0,212.194,258.530
MozillaFirefox,JS,5,3661.993,3320.331,0,212.090,259.492
GoogleChrome,Wasm,1,2622.476,2414.067,0,137.467,162.265
GoogleChrome,Wasm,2,2514.209,2295.385,0,142.575,168.141
GoogleChrome,Wasm,3,2470.324,2250.767,0,142.641,168.384
GoogleChrome,Wasm,4,2449.936,2229.048,0,143.446,169.275
GoogleChrome,Wasm,5,2492.281,2270.892,0,143.085,169.204
MicrosoftEdge,Wasm,1,2611.414,2415.577,0,138.557,161.164
MicrosoftEdge,Wasm,2,2508.167,2295.324,0,143.417,166.986
MicrosoftEdge,Wasm,3,2504.141,2288.225,0,143.290,166.980
MicrosoftEdge,Wasm,4,2522.717,2295.469,0,150.239,167.919
MicrosoftEdge,Wasm,5,2530.101,2306.992,0,145.486,169.782
MozillaFirefox,Wasm,1,2286.632,2099.256,0,123.953,142.788
MozillaFirefox,Wasm,2,2201.595,2004.140,0,128.377,148.418
MozillaFirefox,Wasm,3,2194.283,1993.671,0,130.729,150.548
MozillaFirefox,Wasm,4,2166.777,1969.363,0,129.203,148.695
MozillaFirefox,Wasm,5,2169.974,1969.494,0,130.932,150.680
