Browser,Language,Package,CPU,DRAM,Time
GoogleChrome,JS,2629.301,2395.987,152.028,180.211
MicrosoftEdge,JS,2644.880,2403.485,159.476,185.401
MozillaFirefox,JS,3893.435,3549.551,210.338,256.133
GoogleChrome,Wasm,2514.209,2295.385,142.575,168.141
MicrosoftEdge,Wasm,2508.167,2295.324,143.290,166.980
MozillaFirefox,Wasm,2201.595,2004.140,128.377,148.418
