Browser,Language,Package,CPU,DRAM,Time
GoogleChrome,JS,4766.298,4339.188,273.479,323.799
MicrosoftEdge,JS,4794.651,4361.515,283.724,330.594
MozillaFirefox,JS,6481.238,5875.779,373.221,457.378
GoogleChrome,Wasm,4366.901,3968.299,255.355,303.051
MicrosoftEdge,Wasm,4471.709,4069.806,262.405,306.883
MozillaFirefox,Wasm,3926.965,3568.689,229.943,270.958
