Browser,Language,N,Package,CPU,GPU,DRAM,Time
GoogleChrome,JS,1,4920.277,4503.658,0,280.077,319.453
GoogleChrome,JS,2,4766.298,4339.188,0,272.346,323.799
GoogleChrome,JS,3,4677.794,4249.274,0,273.479,325.334
GoogleChrome,JS,4,4684.988,4252.071,0,275.255,327.631
GoogleChrome,JS,5,4648.155,4215.681,0,277.892,330.193
MicrosoftEdge,JS,1,4924.990,4497.464,0,279.864,325.722
MicrosoftEdge,JS,2,4767.564,4328.469,0,286.526,334.063
MicrosoftEdge,JS,3,4794.651,4361.515,0,283.724,330.594
MicrosoftEdge,JS,4,4823.593,4392.221,0,283.185,329.618
MicrosoftEdge,JS,5,4736.798,4304.232,0,285.471,330.649
MozillaFirefox,JS,1,6554.456,5948.952,0,373.221,456.600
MozillaFirefox,JS,2,6434.349,5828.433,0,372.321,457.378
MozillaFirefox,JS,3,6481.238,5875.779,0,375.018,461.233
MozillaFirefox,JS,4,6485.618,5876.566,0,373.066,459.843
MozillaFirefox,JS,5,6528.165,5908.973,0,378.801,465.820
GoogleChrome,Wasm,1,4360.697,3965.036,0,254.326,302.424
GoogleChrome,Wasm,2,4366.901,3968.299,0,255.355,303.051
GoogleChrome,Wasm,3,4413.068,4008.863,0,258.482,307.033
GoogleChrome,Wasm,4,4393.860,3993.667,0,256.819,305.391
GoogleChrome,Wasm,5,4394.378,3995.608,0,256.162,304.430
MicrosoftEdge,Wasm,1,4471.709,4069.806,0,261.233,305.492
MicrosoftEdge,Wasm,2,4500.859,4088.675,0,267.138,312.891
MicrosoftEdge,Wasm,3,4399.165,3997.153,0,262.405,306.883
MicrosoftEdge,Wasm,4,4424.772,4022.879,0,263.492,307.808
MicrosoftEdge,Wasm,5,4393.126,3989.246,0,262.654,307.074
MozillaFirefox,Wasm,1,3949.629,3592.637,0,229.943,270.958
MozillaFirefox,Wasm,2,3854.322,3494.641,0,229.385,270.778
MozillaFirefox,Wasm,3,3926.965,3568.689,0,231.434,273.445
MozillaFirefox,Wasm,4,3880.245,3519.385,0,229.431,270.828
MozillaFirefox,Wasm,5,3892.218,3530.261,0,230.762,272.049
